frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
384,6.4,1267,692,23,62,1280,720
385,6.417,1266,689,23,62,1280,720
386,6.433,1267,688,23,62,1280,720
387,6.45,1270,686,23,62,1280,720
388,6.467,1271,684,23,62,1280,720
389,6.483,1273,683,23,62,1280,720
390,6.5,1274,682,23,62,1280,720
391,6.517,1275,681,24,64,1280,720
392,6.533,1273,679,23,62,1280,720
393,6.55,1274,679,24,64,1280,720
394,6.567,1275,678,24,64,1280,720
395,6.583,1277,676,23,62,1280,720
396,6.6,1278,675,23,62,1280,720
397,6.617,1279,674,23,62,1280,720
398,6.633,1278,672,23,62,1280,720
399,6.65,1275,670,23,62,1280,720
400,6.667,1272,668,23,62,1280,720
401,6.683,1269,667,23,62,1280,720
402,6.7,1269,666,23,62,1280,720
403,6.717,1267,664,23,62,1280,720
404,6.733,1265,664,23,62,1280,720
405,6.75,1263,663,23,62,1280,720
406,6.767,1260,662,23,62,1280,720
407,6.783,1260,662,23,62,1280,720
408,6.8,1261,661,23,62,1280,720
409,6.817,1261,662,23,62,1280,720
410,6.833,1264,665,23,62,1280,720
411,6.85,1264,669,23,62,1280,720
412,6.867,1265,672,23,62,1280,720
413,6.883,1266,676,23,62,1280,720
414,6.9,1266,679,23,62,1280,720
415,6.917,1268,683,23,62,1280,720
416,6.933,1270,688,23,62,1280,720
417,6.95,1271,693,23,62,1280,720
418,6.967,1271,699,23,62,1280,720
419,6.983,1271,704,23,62,1280,720
420,7.0,1270,707,23,62,1280,720
421,7.017,1272,710,23,62,1280,720
422,7.033,1275,712,23,62,1280,720
423,7.05,1277,714,23,61,1280,720
424,7.067,1279,715,23,61,1280,720
425,7.083,1280,716,22,60,1280,720
426,7.1,1282,717,22,59,1280,720
427,7.117,1282,716,22,59,1280,720
428,7.133,1282,717,22,59,1280,720
429,7.15,1283,718,21,58,1280,720
430,7.167,1283,717,21,58,1280,720
431,7.183,1282,716,22,59,1280,720
432,7.2,1278,717,22,60,1280,720
433,7.217,1275,717,22,60,1280,720
434,7.233,1273,717,22,60,1280,720
435,7.25,1272,718,22,60,1280,720
436,7.267,1272,719,23,61,1280,720
437,7.283,1274,720,22,60,1280,720
438,7.3,1276,721,22,60,1280,720
439,7.317,1278,722,22,60,1280,720
440,7.333,1280,723,22,60,1280,720
