frame,time_s,chunk_id,error_px,is_miss,speed_t,accel_t,speed_c,accel_c,v_rel,a_rel,cross_x,cross_y,ball_x,ball_y,ball_w,ball_h,on_target
1942,32.367,0,7.441076166286285,0.0,31.428571428577925,0.0,0.0,0.0,31.428571428577925,0.0,1280,720,1282,713,20,54,1.0
1943,32.383,0,7.280109889280627,0.0,31.428571428577925,1542.8571428576106,0.0,0.0,31.428571428577925,1542.8571428576106,1280,720,1282,713,20,54,1.0
1944,32.4,0,7.153959625410025,0.0,5.714285714284415,0.0,0.0,0.0,5.714285714284415,0.0,1280,720,1282,713,20,53,1.0
1945,32.417,0,7.13491622084376,0.0,5.714285714284415,1916.6296950001893,0.0,0.0,5.714285714284415,1916.6296950001893,1280,720,1281,713,20,53,1.0
1946,32.433,0,7.117096404046472,0.0,26.34155559227272,923.1711097939725,0.0,0.0,26.34155559227272,923.1711097939725,1280,720,1281,713,20,53,1.0
1947,32.45,0,7.1143877088374525,0.0,32.57644071711082,1474.6843314920204,0.0,0.0,32.57644071711082,1474.6843314920204,1280,720,1282,713,20,53,1.0
1948,32.467,0,7.394457690402224,0.0,25.555062599997886,1382.1013282808585,0.0,0.0,25.555062599997886,1382.1013282808585,1280,720,1282,713,20,54,1.0
1949,32.483,0,7.8154739237657305,0.0,14.285714285719223,685.7142857141298,0.0,0.0,14.285714285719223,685.7142857141298,1280,720,1283,713,20,54,1.0
1950,32.5,0,7.954519244884184,0.0,8.57142857141298,766.6518780004857,0.0,0.0,8.57142857141298,766.6518780004857,1280,720,1282,712,21,55,1.0
1951,32.517,0,7.914652446949866,0.0,18.29464067838606,1382.1013282801478,0.0,0.0,18.29464067838606,1382.1013282801478,1280,720,1282,712,21,55,1.0
1952,32.533,0,7.6688846244561715,0.0,23.560603574952705,923.1711097942765,0.0,0.0,23.560603574952705,923.1711097942765,1280,720,1282,713,21,55,1.0
